name,word_ranking,asia_ranking,pakistani_ranking,publication,address
Abasyn University ,7409 / 14;131,2880 / 5;830,98 / 175,352,Ring Road Charsadda Link Peshawar Khyber Pakhtunkhwa25000 Pakistan
Abdul Wali Khan University Mardan,3917 / 14;131,1313 / 5;830,21 / 175,3115,"Toro Road Near sheikh Maltoon Town Mardan; Khyber Pakhtunkhwa; 23200 Pakistan"
Aga Khan University,1559 / 14;131,434 / 5;830,2 / 175,7475,"Stadium Road; PO Box 3500 Karachi; Sindh; 74800 Pakistan"
Air University,5473 / 14131,1999 / 5830,52 / 175,1260,"E-9; PAF Complex Islamabad Islamabad CT 44000 Pakistan"
Bacha Khan University , 7300 / 14131,2836 / 5830,95 / 175471,0,"PO Box 20 Charsadda Khyber Pakhtunkhwa Pakistan"
Bahauddin Zakariya University,2862 / 14131,896 / 5830,9 / 175,4,756,"Bosan Road Multan; Punjab; 60800 Pakistan"
Bahria University,4860 / 14131,1725 / 5830,36 / 175,2,236,"Shangrila Road Sector E-8 Islamabad Islamabad CT 44000 Pakistan"
Balochistan University of Information Technology; Engineering and Management Sciences,6322 / 14131,2365 / 5830,68 / 175,722,"Takatu campus; Airport Road; Baleli Quetta Balochistan 87300 Pakistan"
Baqai Medical University ,6519 / 14;131,2460 / 5;830,76 / 175,509,"Gandap Road Karachi Sindh 74600 Pakistan"
Beaconhouse National University ,6667 / 14;131,2532 / 5;830,81 / 175,97,"Tarogil Campus 13 Km Off Thokar Niazbeg - Raiwind Road; Tarogil Lahore; Punjab; 54400Pakistan"
CECOS University ,7193 / 14;131,2782 / 5;830,93 / 175,0,"Phase 6; Hayatabad Peshawar; Khyber Pakhtunkhwa Pakistan"
COMSATS Institute of Information Technology,2526 / 14;131,758 / 5;830,8 / 175,17,977,"Park Road; Chak Shahzad Islamabad; Islamabad CT; 44000 Pakistan"
Dawood University of Engineering and Technology ,7072 / 14;131,2722 / 5;830,90 / 175,241,"M.A. Jinnah Road Karachi; Sindh; 65010 Pakistan"
DOW University of Health Sciences,4186 / 14;131,1435 / 5;830,23 / 175,3,027,"Baba-e-Urdu Road Saddar Town Sindh 74200 Pakistan"
Fatima Jinnah Medical University ,6826 / 14;131,2599 / 5;830,82 / 175,296,"Queen's Road Lahore; Punjab Pakistan"
Fatima Jinnah Women University,4194 / 14;131,1440 / 5;830,24 / 175,720,"The Mall Rawalpindi; Punjab; 46000 Pakistan"
Federal Urdu University of Arts; Sciences and Technology,5312 / 14;131,1938 / 5;830,47 / 175,1,218,"MSC Block; Block 9 Gulshan Town; Sindh; 75300 Pakistan"
Forman Christian College,4326 / 14;131,1490 / 5;830,27 / 175,768,"Ferozepur Road Lahore; Punjab; 54600 Pakistan"
Foundation University Islamabad,5365 / 14;131,1959 / 5;830,49 / 175,2,118,"Defense Avenue; Phase-I; DHA Islamabad; Islamabad CT; 44000 Pakistan"
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology ,4992 / 14;131,1788 / 5;830,39 / 175,790,"Topi; Khyber Pakhtunkhwa; 23460 Pakistan"
Gomal University,5125 / 14;131,1844 / 5;830,44 / 175,1,389,"NH 55 Dera Ismail Khan; Khyber Pakhtunkhwa Pakistan"
Government College for Women University; Sialkot ,7540 / 14;131,2939 / 5;830,100 / 175,0,"Kachehri Road Sialkot Punjab Pakistan"
Government College University; Faisalabad,3868 / 14;131,1291 / 5;830,19 / 175,4,950,"Kotwali Road Faisalabad; Punjab; 38000 Pakistan"
Government College University; Lahore,3498 / 14;131,1139 / 5;830,16 / 175,3,160,"Lower Mall; Katchehri Road Lahore; Punjab; 54600 Pakistan"
Government College Women University; Faisalabad ,7336 / 14;131,2851 / 5;830,96 / 175,463,"Shafique Road Faisalabad; Punjab; 38000 Pakistan"
Hamdard University,5114 / 14;131,1838 / 5;830,43 / 175,3,068,"Madinat al- Hikmah; Hakim Mohammad Said Road Karachi; Sindh; 74600 Pakistan"
Hazara University,5534 / 14;131,2024 / 5;830,53 / 175,2,114,"Karakoram Hwy
 Dhodial; Khyber Pakhtunkhwa; 21300 Pakistan"
HITEC University ,6989 / 14;131,2681 / 5;830,88 / 175,653,"Khanpur Road TaxilaPunjab 47080 Pakistan"
Indus University; Pakistan ,7153 / 14;131,2756 / 5;830,92 / 175,313,"ST-2D; Block-17; Adjacent National Stadium Gulshan-e-Iqbal Karachi; Sindh Pakistan"
Information Technology University,4115 / 14;131,1405 / 5;830,22 / 175,11,172,"346-B; Ferozepur Road Lahore; Punjab; 54600 Pakistan"
Institute of Business Administration ,4248 / 14;131,1457 / 5;830,25 / 175,371,"University Road Karachi; Sindh; 75270 Pakistan"
Institute of Space Technology,5785 / 14;131,2130 / 5;830,58 / 175,870,"PO Box 2750 Islamabad; Islamabad CT; 44000 Pakistan"
International Islamic University; Islamabad,2912 / 14;131,912 / 5;830,10 / 175,4,841 "PO Box 1243 Islamabad; Islamabad CT; 44000 Pakistan"
Iqra University,5762 / 14;131,2118 / 5;830,57 / 175,1,082,"Defence View Shaheed-e-Millat Road Karachi; Sindh; 75500 Pakistan"
Islamia College Peshawar,5819 / 14;131,2148 / 5;830,59 / 175,1,241,"Jamrud Road Peshawar; Khyber Pakhtunkhwa; 25120 Pakistan"
Islamia University of Bahawalpur,3473 / 14;131,1129 / 5;830,15 / 175,3,699,"Abbasia Campus Bahawalpur; Punjab Pakistan"
Isra University,6374 / 14;131,2385 / 5;830,70 / 175,969,"Hala Road; PO Box 313 Hyderabad; Sindh; 71000 Pakistan"
Jinnah Sindh Medical University ,5606 / 14;131,2055 / 5;830,55 / 175,571,"Rafiqi H J Road Karachi; Sindh Pakistan"
Jinnah University for Women ,6828 / 14;131,2600 / 5;830,83 / 175,535,"V-C Nazimabad Karachi; Sindh; 74600 Pakistan"
Karachi Institute of Economics and Technology ,6406 / 14;131,2403 / 5;830,72 / 175,238,"PAF-KIET; PAF Base Korangi Creek Karachi; Sindh; 75190 Pakistan"
Karakurum International University ,6516 / 14;131,2457 / 5;830,75 / 175,451,"Nomal Road Gilgit; Gilgit-Baltistan Pakistan"
Khyber Medical University,5428 / 14;131,1981 / 5;830,51 / 175,784,"Phase 5; Hayatabad
 Peshawar; Khyber Pakhtunkhwa; 25100 Pakistan"
King Edward Medical University,4793 / 14;131,1691 / 5;830,32 / 175,1,209,"Nelagumbad; Anarkali Lahore; Punjab; 54000 Pakistan"
Kinnaird College for Women ,6088 / 14;131,2262 / 5;830,60 / 175,303,"93 Jail Road Lahore; Punjab; 54800 Pakistan"
Kohat University of Science and Technology,6241 / 14;131,2328 / 5;830,64 / 175,1,446,"Indus Highway Kohat; Khyber Pakhtunkhwa; 26000 Pakistan"
Lahore College for Women University,4800 / 14;131,1694 / 5;830,33 / 175,1,289,"Jail Road Lahore; Punjab; 54600 Pakistan"
Lahore School of Economics ,6275 / 14;131,2345 / 5;830,66 / 175,372,"Intersection Main Boulevard; Phase VI; DHA Lahore; Punjab; 53200 Pakistan"
Lahore University of Management Sciences,2061 / 14;131,606 / 5;830,4 / 175,2,698,Sector U; D.H.A Lahore; Punjab; 54792 Pakistan"
Liaquat University of Medical and Health Sciences,4949 / 14;131,1765 / 5;830,38 / 175,675,"Jamshoro; Sindh Pakistan"
Mehran University of Engineering and Technology,3870 / 14;131,1293 / 5;830,20 / 175,1,568,"Jamshoro; Sindh; 76062 Pakistan"
Mirpur University of Science and Technology ,6894 / 14;131,2635 / 5;830,85 / 175,730,"Allama Iqbal Road Mirpur; Azad Kashmir; 10250 Pakistan"
Mohammad Ali Jinnah University,6309 / 14;131,2359 / 5;830,67 / 175,829,"Islamabad Expressway; Kahuta Road; Zone-V Karachi; Sindh; 75400 Pakistan"
National College of Business Administration and Economics ,6988 / 14;131,2680 / 5;830,87 / 175,529,"40-E/I; Gulberg-III Lahore; Punjab; 54660 Pakistan"
National Defence University,4569 / 14;131,1597 / 5;830,28 / 175,942,"Shaheen Chowk E-9 Islamabad; Islamabad CT; 44000 Pakistan"
National Textile University ,6428 / 14;131,2414 / 5;830,73 / 175,819,"Sheikhupura Road; Manawala Faisalabad; Punjab; 37610 Pakistan"
National University of Computer and Emerging Sciences,3011 / 14;131,953 / 5;830,11 / 175,2,087,"Sector H-12 Islamabad; Islamabad CT; 54000 Pakistan"
National University of Modern Languages,5731 / 14;131,2108 / 5;830,56 / 175,724,"Sector H-9 Islamabad; Islamabad CT; 44000 Pakistan" 
National University of Sciences and Technology,3463 / 14;131,1125 / 5;830,14 / 175,2971,"Sector H-12 Islamabad; Islamabad CT; 44000 Pakistan"
NED University of Engineering and Technology,3755 / 14;131,1248 / 5;830,18 / 175,1,251,"Main University Road Karachi; Sindh; 75270 Pakistan"
Pakistan Institute of Development Economics,5537 / 14;131,2025 / 5;830,54 / 175,574,"PO Box 1091; Quaid-i-Azam University CampusIslamabad; Islamabad CT; 44000 Pakistan"
Pakistan Institute of Engineering and Applied Sciences,4824 / 14;131,1704 / 5;830,34 / 175,2,159,"PO Nilore Islamabad; Islamabad CT Pakistan"
Pir Mehr Ali Shah Arid Agriculture University,4940 / 14;131,1760 / 5;830,37 / 175,2,228,"Rawalpindi Murree Road Rawalpindi; Punjab; 46300 Pakistan"
Preston University ,7062 / 14;131,2714 / 5;830,89 / 175,228,"OTS Road; Near EidGah Kohat; Khyber Pakhtunkhwa Pakistan"
Quaid-e-Awam University of Engineering; Science and Technology ,6866 / 14;131,2620 / 5;830,84 / 175,426,"Sakrand Road Nawabshah; Sindh; 67480 Pakistan"
Quaid-i-Azam University,2014 / 14;131,592 / 5;830,3 / 175,13,401,"PO Box 1090 Islamabad; Islamabad CT; 45320 Pakistan"
Rawalpindi Medical University ,6383 / 14;131,2389 / 5;830,71 / 175,617,"Tipu Road Rawalpindi; Punjab; 46000 Pakistan"
Riphah International University,4844 / 14;131,1714 / 5;830,35 / 175,2,318,"Hajj Complex Road; Sector I-14 Islamabad; Islamabad CT; 46000 Pakistan"
Sarhad University of Science and Information Technology ,6558 / 14;131,2482 / 5;830,79 / 175,448,"Landi Akhun Ahmad; Hayatabad Link. Ring Road Peshawar; Khyber Pakhtunkhwa; 25000 Pakistan"
Shah Abdul Latif University ,6481 / 14;131,2442 / 5;830,74 / 175,468,"Old National Highway Khairpur; Sindh; 66020 Pakistan"
Shaheed Benazir Bhutto Women University ,7430 / 14;131,2888 / 5;830,99 / 175,240,"Asamia Road Opposite Qila Balahisar Peshawar; Khyber Pakhtunkhwa Pakistan"
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,5108 / 14;131,1834 / 5;830,42 / 175,862,"90 & 100 Clifton Karachi; Sindh; 75600 Pakistan"
Sindh Agriculture University,6102 / 14;131,2271 / 5;830,62 / 175,765,"Tandojam; Sindh; 70060 Pakistan"
Sindh Madresatul Islam University ,7126 / 14;131,2745 / 5;830,91 / 175,144,"Aiwan-e-Tijarat Road Karachi; Sindh; 74000 Pakistan"
Sir Syed University of Engineering and Technology ,6897 / 14;131,2637 / 5;830,86 / 175,359,"Gulshan-e-Iqbal University Road Karachi; Sindh; 75300 Pakistan"
Sukkur Institute of Business Administration,6090 / 14;131,2263 / 5;830,61 / 175,780,"Air Port Road Sukkur; Sindh Pakistan"
